               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079863,            0.011657,                   0,             0.53609,             0.37805,             0.37882,             0.11797,            0.054192,           0.0081604,                   0,            0.070027,           0.0033304,           0.0033304
                   1,            0.053299,            0.010275,                   0,             0.61074,             0.47539,             0.47447,             0.14231,            0.049094,           0.0068746,                   0,            0.039807,           0.0064438,           0.0064438
                   2,            0.050926,           0.0094087,                   0,             0.64222,             0.51785,             0.54395,             0.17923,             0.04685,           0.0064849,                   0,            0.009367,           0.0093372,           0.0093372
                   3,            0.049673,           0.0090045,                   0,             0.63666,             0.53476,             0.53569,             0.17625,            0.045476,           0.0065605,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.046905,           0.0087902,                   0,             0.68911,             0.60278,             0.61068,             0.20393,            0.043413,           0.0062071,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.044534,           0.0083577,                   0,             0.69796,             0.61481,             0.63231,             0.22146,             0.04201,           0.0058219,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.044058,           0.0081428,                   0,             0.72646,             0.62946,             0.65448,             0.23504,            0.042051,           0.0057815,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.042904,           0.0079666,                   0,             0.73701,             0.64074,             0.67096,             0.24055,            0.040734,           0.0055813,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.041484,           0.0075708,                   0,              0.7714,             0.67569,             0.70867,             0.25779,            0.039556,           0.0054912,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.041196,           0.0075869,                   0,             0.76765,              0.6847,             0.71836,             0.27022,            0.038837,           0.0053268,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.040648,           0.0075746,                   0,             0.73825,              0.6688,             0.69353,              0.2556,            0.039574,           0.0053632,                   0,             0.00703,             0.00703,             0.00703
                  11,             0.03978,           0.0073147,                   0,             0.78482,             0.68583,             0.71241,             0.27382,            0.038158,           0.0052558,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.039634,           0.0073204,                   0,             0.78596,             0.69962,             0.73307,             0.27048,            0.038417,            0.005119,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.038623,           0.0071558,                   0,             0.77532,             0.71324,             0.73507,              0.2829,            0.037279,           0.0049949,                   0,             0.00604,             0.00604,             0.00604
                  14,             0.03801,           0.0070547,                   0,             0.79262,             0.70913,              0.7461,              0.2886,            0.037067,           0.0050385,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.037748,           0.0070137,                   0,              0.7776,              0.7283,             0.74999,             0.29344,            0.037052,           0.0050166,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.037556,           0.0067471,                   0,             0.78891,             0.74014,             0.76499,             0.30141,            0.036427,           0.0049222,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.037162,           0.0067374,                   0,             0.81697,             0.72003,             0.77121,             0.30671,            0.036444,           0.0048147,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.036881,           0.0066804,                   0,             0.80087,             0.73807,             0.76774,             0.30585,            0.036125,           0.0047762,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.036461,           0.0066562,                   0,             0.80524,             0.73339,             0.75971,             0.30784,            0.036226,           0.0047957,                   0,             0.00406,             0.00406,             0.00406
                  20,             0.03611,           0.0065143,                   0,             0.80396,             0.75536,             0.77259,             0.31218,            0.035664,           0.0047463,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.035264,           0.0065837,                   0,             0.80695,              0.7556,             0.77955,             0.30852,            0.035478,           0.0046693,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.034549,           0.0064519,                   0,             0.80936,             0.74669,             0.78279,             0.31785,            0.035294,           0.0046827,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.034753,           0.0063878,                   0,             0.80445,               0.764,             0.78581,             0.32208,            0.034594,           0.0046435,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.034215,           0.0063311,                   0,               0.812,             0.76325,             0.79063,             0.32663,            0.034919,           0.0046014,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.033702,           0.0062352,                   0,             0.82142,             0.77614,             0.79933,             0.32838,            0.034691,           0.0045157,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.033739,           0.0060824,                   0,             0.81659,             0.77565,             0.80189,             0.32841,            0.034405,           0.0045212,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.033228,           0.0062177,                   0,             0.81365,             0.77565,             0.80156,             0.33732,            0.034103,           0.0045156,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.032144,           0.0060345,                   0,             0.82036,             0.78617,             0.80657,             0.34023,            0.034041,           0.0044369,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.032397,           0.0060125,                   0,             0.81295,             0.79376,             0.80881,              0.3399,             0.03391,           0.0044488,                   0,             0.00076,             0.00076,             0.00076
